"Pass","A Name","A Score","A Win","B Name","B Score","B Win"
"1/24","Bustamante Nunez Alvaro Jose Miguel Dario","139","1","Quesada Arias Diego","138","0"
"1/24","Buzek Vladimir","144","1","Garcia Escalante Oscar Augusto","130","0"
"1/16","Schloesser Mike","150","1","Bustamante Nunez Alvaro Jose Miguel Dario","128","0"
"1/16","Bosansky Jozef","147","0","Mior Viviano","147*","1"
"1/16","Damsbo Martin","145","0","Buden Domagoj","150","1"
"1/16","Lopez Ramon","145","0","Pagni Sergio","145*","1"
"1/16","Hernandez Roberto","147","1","Veliz Miguel Angel","145","0"
"1/16","Boulch Jean Philippe","146","1","Cardona Camilo Andres","145","0"
"1/16","Schaff Kris","147","1","Pizarro Jean","145","0"
"1/16","Aguilar Guillermo","141","0","Pagnoni Federico","148","1"
"1/16","Elzinga Peter","147","1","Jimenez Mustafa Ruben","140","0"
"1/16","Nolasco Carias Douglas Vladimir","145","0","Munoz Daniel","148","1"
"1/16","Arenas Sebastian","144","0","Pater Sil","147","1"
"1/16","Nikolajuk Ivan","146","0","Morgan Tate","147","1"
"1/16","Singh Mejia Jagdeep Teji","148","1","Barillas Julio","145","0"
"1/16","Conrado Brassaroto Bruno","145","0","Deloche Pierre-Julien","146","1"
"1/16","Gellenthien Braden","146*","1","Peineau Sebastien","146","0"
"1/16","Buzek Vladimir","134","0","Sullivan Matt","149","1"
"1/8","Schloesser Mike","150","1","Mior Viviano","147","0"
"1/8","Buden Domagoj","147","0","Pagni Sergio","148","1"
"1/8","Hernandez Roberto","147","0","Boulch Jean Philippe","147*","1"
"1/8","Schaff Kris","147","1","Pagnoni Federico","145","0"
"1/8","Elzinga Peter","145","0","Munoz Daniel","146","1"
"1/8","Pater Sil","144","0","Morgan Tate","147","1"
"1/8","Singh Mejia Jagdeep Teji","147","0","Deloche Pierre-Julien","148","1"
"1/8","Gellenthien Braden","150*","1","Sullivan Matt","150","0"
"1/4","Schloesser Mike","149","1","Pagni Sergio","147","0"
"1/4","Boulch Jean Philippe","146*","1","Schaff Kris","146","0"
"1/4","Munoz Daniel","146","0","Morgan Tate","146*","1"
"1/4","Deloche Pierre-Julien","148","0","Gellenthien Braden","148*","1"
"1/2","Schloesser Mike","149","1","Boulch Jean Philippe","148","0"
"1/2","Morgan Tate","146","0","Gellenthien Braden","150","1"
"Bronze","Morgan Tate","145","0","Boulch Jean Philippe","145*","1"
"Gold","Gellenthien Braden","145","0","Schloesser Mike","149","1"
