"Rank","Name","Country"
"1","ELLISON Brady","USA"
"2","LEE Woo Seok","KOR"
"3","KIM Woojin","KOR"
"4","VAN DEN BERG Sjef","NED"
"5","LEE Seungyun","KOR"
"6","FURUKAWA Takaharu","JPN"
"7","CASTRO Daniel","ESP"
"8","WORTH Taylor","AUS"
"9","ACHA Pablo","ESP"
"9","CHIRAULT Thomas","FRA"
"9","GALIAZZO Marco","ITA"
"9","KAHLLUND Florian","GER"
"9","MUTO Hiroki","JPN"
"9","PIFARRE TRUJILLO Miguel","ESP"
"9","VAN DER VEN Rick","NED"
"9","WANG Wenxuan","CHN"
"17","ALVARADO SANTIN Angel David","MEX"
"17","ALVARINO GARCIA Miguel","ESP"
"17","BROEKSMA Gijs","NED"
"17","DUENAS Crispin","CAN"
"17","D’ALMEIDA Marcus","BRA"
"17","KURAYA Tomoaki","JPN"
"17","NESPOLI Mauro","ITA"
"17","PETERS Eric","CAN"
"17","QI Xiangshuo","CHN"
"17","REQUA Matthew","USA"
"17","SOTO Ricardo","CHI"
"17","TYACK Ryan","AUS"
"17","WECKMUELLER Maximilian","GER"
"17","WIESER Felix","GER"
"17","WIJLER Steve","NED"
"17","XU Zhiwei","CHN"
"33","ALVAREZ Jose","ECU"
"33","ARCILA Santiago","COL"
"33","BARNES David","AUS"
"33","BETANCUR Daniel","COL"
"33","BOURDAGE Alex","USA"
"33","DARCY Astin","AUS"
"33","FLOSSBACH Thomas","GUA"
"33","FRANCO Hugo","CUB"
"33","HENCKELS Jeff","LUX"
"33","JAJARABILLA Mario Damian","ARG"
"33","JIN Tao","CHN"
"33","KLEIN Joe","LUX"
"33","MALAVE Elias","VEN"
"33","NGUYEN Hamilton","CAN"
"33","OHI Kazuki","JPN"
"33","PASQUALUCCI David","ITA"
"33","PILA Andres","COL"
"33","PINEDA Daniel Felipe","COL"
"33","PLIHON Pierre","FRA"
"33","RIEGER Cedric","GER"
"33","ROJAS Carlos","MEX"
"33","TICAS Oscar","ESA"
"33","VALLADONT Jean-Charles","FRA"
"33","WILLIAMS Jack","USA"
"57","AGUILAR Andres","CHI"
"57","BERDIALES Bladimir","PAN"
"57","BETHANCOURTH Diego","PAN"
"57","CASTRO Diego","GUA"
"57","COSTA Marcelo","BRA"
"57","ESCALANTE Ignacio","ARG"
"57","FRANCIS Sherwin","TTO"
"57","JAQUEZ Luis Miguel","DOM"
"57","JIMENEZ SALDAÑA Joshua Andres","PER"
"57","KLEIN Pit","LUX"
"57","LOPEZ Jose Carlos","GUA"
"57","MAXWELL Brian","CAN"
"57","O'BRIEN TEJADA Willian Alberth","PER"
"57","PAINEVIL NAVARRO Juan","CHI"
"57","PRADO Santiago","PER"
"57","PUENTES Adrian","CUB"
"57","SABADO Kevin","ARG"
"57","STEVENS Juan Carlos","CUB"
