"Rank","Name","Country","Score","Tens","Xs"
"1","LOPEZ Sara","COL","713","65","33"
"2","ELLISON Toja","SLO","704","57","16"
"3","USQUIANO Alejandra","COL","701","55","20"
"4","JENSEN Tanja","DEN","701","54","27"
"5","DE LAAT Sanne","NED","699","53","21"
"6","RUIZ Alexis","USA","699","52","21"
"7","SANDINO BORRAIS Alexandra","COL","698","50","19"
"8","DODEMONT Sophie","FRA","697","49","23"
"9","STRACHAN Sophia","USA","696","49","21"
"10","VERMEULEN Jody","NED","693","46","23"
"11","VAN NATTA Jamie","USA","692","46","20"
"12","SHKOLNA Mariya","LUX","691","46","20"
"13","SUÁREZ Maria Valentina","COL","690","43","16"
"14","MARCOS Andrea","ESP","689","42","20"
"15","RET Sara","ITA","686","41","10"
"16","TONIOLI Marcella","ITA","684","45","14"
"17","ANASTASIO Anastasia","ITA","683","39","16"
"18","PRIEELS Sarah","BEL","681","37","11"
"19","THEODORE Breanna","USA","680","37","14"
"20","ZEBADUA Maria Jose","GUA","679","39","13"
"21","GONZALEZ BRIOZZO Maria Eugenia","ARG","677","36","15"
"22","DAMSBO Erika","DEN","674","30","11"
"23","GODDARD Charlene Christina","BAR","672","35","16"
"24","MENDOZA Ana","VEN","665","31","13"
"25","CINTRON Marla","PUR","660","31","8"
"26","ALIAGA HURTADO Beatriz","PER","652","23","8"
"27","CANEVARO GUEVARA Valeria Estefania","PER","638","17","6"
"28","GUZMAN MORATI Carlina","DOM","635","25","11"
"29","PALOMINO GUTIERREZ Jackeline","PER","618","10","2"
