"Pass","A Name","A Score","A Win","B Name","B Score","B Win"
"1/48","Miklos Beatrice","4","0",". Sangeeta","6","1"
"1/48","Askarova Karakoz","0","0","Aktuna Aybuke","6","1"
"1/48","Ingley Alice","6","1","Laursen Anne Marie","4","0"
"1/48","Riess Nina","0","0","Derin Sevcan","6","1"
"1/48","Khunhiranchaiyo Narisara","0","0","Sonoda Waka","6","1"
"1/48","Degn Randi","6","1","Kendal-Brown Amanda Jessica","2","0"
"1/48","Chai Xin Yu Keller","3","0","Kuoppa Taru","7","1"
"1/48","Bridger Deonne","5","0","Altangerel Enkhtuya","6*","1"
"1/48","Phutdee Waraporn","3","0","Amaiestroaie Madalina","7","1"
"1/48","Ghapar Nur Aliya","6","1","Inkham Nattapat","0","0"
"1/48","Igibayeva Gaukhar","7","1","Maxworthy Belinda","3","0"
"1/48","Ray Beauty","6","1","Ghassemi Parmida","4","0"
"1/48","Castanos Celia","4","0","Kaufhold Casey","6","1"
"1/48","Loke Shin Hui","6","1","Bottinelli Gajane","0","0"
"1/48","Jantima Natthakan","2","0","Lorig Khatuna","6","1"
"1/48","Brown Mackenzie","6","1","Nisula Satu","2","0"
"1/48","Mazlan Nuramalia Haneesha","3","0","Bhakat Ankita","7","1"
"1/48","Longova Alexandra","0","0","Haywood Sarah","6","1"
"1/48","Kubara Chinatsu","4","0","Nemati Zahra","6","1"
"1/48","Shojamehr Shiva","7","1","Tukiainen Iida","3","0"
"1/24","Shitole Sakshi Rajendra","2","0","Alipoor Niloofar","6","1"
"1/24","Preeti","6","1",". Sangeeta","2","0"
"1/24","Aktuna Aybuke","2","0","Folkard Naomi","6","1"
"1/24","Zheng Yichai","6","1","Ingley Alice","0","0"
"1/24","Derin Sevcan","2","0","Peng Chia-Mao","6","1"
"1/24","Tsyrempilova Sayana","5","0","Sonoda Waka","6*","1"
"1/24","Degn Randi","3","0","Horackova Marie","7","1"
"1/24","Stepanova Inna","6","1","Kuoppa Taru","0","0"
"1/24","Altangerel Enkhtuya","4","0","An Qixuan","6","1"
"1/24","Lin Chia-En","6","1","Amaiestroaie Madalina","4","0"
"1/24","Ghapar Nur Aliya","6*","1","Canales Elia","5","0"
"1/24","Bishindee Urantungalag","6","1","Piper Eleanor","2","0"
"1/24","Coskun Gulnaz","0","0","Bettles Sarah","6","1"
"1/24","Ilyassova Alina","0","0","Igibayeva Gaukhar","0","1"
"1/24","Ray Beauty","3","0","Hayakawa Ren","7","1"
"1/24","Anagoz Yasemin","6*","1","Kaufhold Casey","5","0"
"1/24","Loke Shin Hui","2","0","Perova Ksenia","6","1"
"1/24","Galisteo Monica","6","1","Lorig Khatuna","2","0"
"1/24","Brown Mackenzie","2","0","Jager Maja","6","1"
"1/24","Osipova Elena","3","0","Bhakat Ankita","7","1"
"1/24","Haywood Sarah","5","0","Long Xiaoqing","6*","1"
"1/24","Tartler Elisa","4","0","Nemati Zahra","6","1"
"1/24","Shojamehr Shiva","2","0","Mickelberry Erin","6","1"
"1/24","Marin Alicia","3","0","Abdul Halil Nur Afisa","7","1"
"1/16","Choi Misun","7","1","Alipoor Niloofar","1","0"
"1/16","Preeti","4","0","Folkard Naomi","6","1"
"1/16","Zheng Yichai","7","1","Peng Chia-Mao","3","0"
"1/16","Sonoda Waka","4","0","Tomomi Sugimoto","6","1"
"1/16","Pitman Bryony","7","1","Horackova Marie","1","0"
"1/16","Stepanova Inna","4","0","An Qixuan","6","1"
"1/16","Lin Chia-En","4","0","Ghapar Nur Aliya","6","1"
"1/16","Bishindee Urantungalag","2","0","Tan Ya-Ting","6","1"
"1/16","Kang Chae Young","6","1","Bettles Sarah","0","0"
"1/16","Anagoz Yasemin","2","0","Perova Ksenia","6","1"
"1/16","Galisteo Monica","7","1","Lei Chien-Ying","3","0"
"1/16","Meng Fanxu","6","1","Jager Maja","4","0"
"1/16","Bhakat Ankita","7","1","Long Xiaoqing","3","0"
"1/16","Nemati Zahra","7","1","Mickelberry Erin","1","0"
"1/16","Abdul Halil Nur Afisa","6","1","Chang Hye Jin","4","0"
"1/8","Choi Misun","6","1","Folkard Naomi","0","0"
"1/8","Zheng Yichai","0","0","Tomomi Sugimoto","6","1"
"1/8","Pitman Bryony","2","0","An Qixuan","6","1"
"1/8","Ghapar Nur Aliya","0","0","Tan Ya-Ting","6","1"
"1/8","Kang Chae Young","6","1","Hayakawa Ren","2","0"
"1/8","Perova Ksenia","6","1","Galisteo Monica","0","0"
"1/8","Meng Fanxu","6*","1","Bhakat Ankita","5","0"
"1/8","Nemati Zahra","1","0","Abdul Halil Nur Afisa","7","1"
"1/4","Choi Misun","3","0","Tomomi Sugimoto","7","1"
"1/4","An Qixuan","5","0","Tan Ya-Ting","6*","1"
"1/4","Kang Chae Young","7","1","Perova Ksenia","3","0"
"1/4","Meng Fanxu","5","0","Abdul Halil Nur Afisa","6*","1"
"1/2","Tomomi Sugimoto","6","1","Tan Ya-Ting","2","0"
"1/2","Kang Chae Young","6","1","Abdul Halil Nur Afisa","0","0"
"Bronze","Abdul Halil Nur Afisa","2","0","Tan Ya-Ting","6","1"
"Gold","Kang Chae Young","6","1","Tomomi Sugimoto","0","0"
