"Rank","Name","Country"
"1","GELLENTHIEN Braden","USA"
"2","FREDERICKX Brend","BEL"
"3","HERNANDEZ Roberto","ESA"
"4","CAGIRAN Evren","TUR"
"5","KIM Jongho","KOR"
"6","KARABAYEV Akbarali","KAZ"
"7","JAFAR Syahrizan","MAS"
"7","XUE Zheng","CHN"
"9","CHOI Yonghee","KOR"
"9","ITSARANGKUN NA AYUTTHAYA Dhansarit","THA"
"9","KOOLS Reginald","BEL"
"9","MASON James","GBR"
"9","OOSTHUIZEN Danie","AUS"
"9","PALIZBAN Mohammadsaleh","IRI"
"9","WANG Yue","CHN"
"9","YETIM Muhammed","TUR"
"17","ARAZ Suleyman","TUR"
"17","BARCLAY Marcus","NZL"
"17","CHATACHOT Nitiphum","THA"
"17","CHEN Chieh-Lun","TPE"
"17","EBADI Esmaeil","IRI"
"17","JUUTILAINEN Mikko","FIN"
"17","KUCHEL Andrew","AUS"
"17","MCDOUGALL Matthew","AUS"
"17","MORGAN Tate","USA"
"17","NAKAMURA Kazune","JPN"
"17","SCHAFF Kris","USA"
"17","SINGH Gurwinder","IND"
"17","SULLIVAN Matt","USA"
"17","SUN Yingjie","CHN"
"17","VAN TONDER Riku","NZL"
"17","YANG Jaewon","KOR"
"33","ACHILIE Ovidiu","ROU"
"33","BISLA Sangampreet Singh","IND"
"33","BREHAUT Jamie","CAN"
"33","CHAINAK Sirapop","THA"
"33","CHEUNG Cheuk Sing","HKG"
"33","COGHLAN Patrick","AUS"
"33","GU Senji","CHN"
"33","KARABAYEV Rustam","KAZ"
"33","KOOLS Jonathan","BEL"
"33","KUMAR Praveen","IND"
"33","LIU Yuan","TPE"
"33","LOPEZ Ramon","ESP"
"33","MAHBOUBI MATBOOE Nima","IRI"
"33","MOHANARAJA Khambeswaran","MAS"
"33","MOHD KAMRO Mohd Hakhiki","MAS"
"33","PAN Yu Ping","TPE"
"33","PAVLOV Asim","RUS"
"33","PHOHIRAN Khwanchai","THA"
"33","SINGH Lovejot","IND"
"33","VAN TONDER Rynard","NZL"
"33","VAVRO Mario","CRO"
"33","WIENER Nico","AUT"
"33","WONG Co Wan","MAS"
"33","YEN Ka King","HKG"
"57","BASHKIREV Alexey","RUS"
"57","BEKTURSUN Zhomart","KAZ"
"57","CHEN Hsiang-Hsuan","TPE"
"57","DAS Ashim Kumer","BAN"
"57","DAVAAKHUU Shagjsuren","MGL"
"57","GANBAATAR Ganzorig","MGL"
"57","LAU Chi Hung","HKG"
"57","SHEERIN Dean","NZL"
"57","TSUI Wai Hung","HKG"
