"Rank","Name","Country","Score","Tens","Xs"
"1","LEE Woo Seok","KOR","688","44","14"
"2","KIM Woojin","KOR","683","37","14"
"3","VAN DEN BERG Sjef","NED","679","37","17"
"4","ELLISON Brady","USA","679","37","13"
"5","LEE Seungyun","KOR","676","34","8"
"6","MOHAMAD Khairul Anuar","MAS","676","33","13"
"7","FURUKAWA Takaharu","JPN","673","33","14"
"8","GAZOZ Mete","TUR","672","30","5"
"9","TANG Chih-Chun","TPE","672","34","10"
"10","GANKIN Denis","KAZ","668","31","9"
"11","WILLIAMS Jack","USA","667","32","11"
"12","HALL Tom","GBR","667","30","8"
"13","VAN DER VEN Rick","NED","667","28","16"
"14","ALVARINO GARCIA Miguel","ESP","665","32","15"
"15","ACHA Pablo","ESP","664","30","11"
"16","LI Jialun","CHN","664","30","9"
"17","KAO Hao-Wen","TPE","663","32","16"
"18","MUSSAYEV Sanzhar","KAZ","663","31","10"
"19","ABDULLIN Ilfat","KAZ","663","28","7"
"20","FENG Hao","CHN","662","26","9"
"21","BOURDAGE Alex","USA","661","28","12"
"22","DENG Yu-Cheng","TPE","661","23","7"
"23","REQUA Matthew","USA","660","29","10"
"24","CHOUDHARY Jagdish","IND","659","28","8"
"25","NOR HASRIN Muhammad Akmal","MAS","659","28","5"
"26","BALDANOV Arsalan","RUS","659","27","7"
"27","TYACK Ryan","AUS","659","26","11"
"28","RUBEL Mohammad Hakim Ahmed","BAN","658","32","10"
"29","VIKSTROM Antti Olavi","FIN","658","25","7"
"30","WIJLER Steve","NED","658","24","7"
"31","WEI Shaoxuan","CHN","657","24","10"
"32","TSYDYPOV Erdem","RUS","655","26","10"
"33","SINGH Chaman","IND","655","24","11"
"34","GSTOETTNER Andreas","AUT","655","22","7"
"35","SHANA Md Ruman","BAN","655","19","7"
"36","MUTO Hiroki","JPN","654","25","9"
"37","OHI Kazuki","JPN","654","23","5"
"38","BARNES David","AUS","653","27","12"
"39","WEI Chun-Heng","TPE","653","21","9"
"40","AK Samet","TUR","652","24","10"
"41","KURAYA Tomoaki","JPN","651","25","11"
"42","BOZLAR Fatih","TUR","651","25","7"
"43","SINGH Sukhchain","IND","651","23","9"
"44","VAN TONGEREN Jan","NED","650","26","10"
"45","HUSTON Patrick","GBR","650","23","4"
"46","BAZARZHAPOV Galsan","RUS","650","19","10"
"47","ISLAM MOHAMMAD Tamimul","BAN","650","18","5"
"48","JANTSAN Gantugs","MGL","649","27","6"
"49","PATHAIRAT Tanapat","THA","649","21","7"
"50","CASTRO Daniel","ESP","649","21","3"
"51","MAYR Camilo","GER","648","27","9"
"52","ZOLKEPELI Muhamad Zarif Syahiir","MAS","648","22","9"
"53","WISE Alexander","GBR","648","22","3"
"54","JIMENEZ Mathieu","FRA","647","31","11"
"55","BARBER Thomas","GBR","647","25","9"
"56","DUZELBAYEV Sultan","KAZ","646","27","12"
"57","BAASANKHUU Adiyasuren","MGL","646","21","9"
"58","DINDOR Vakilraj","IND","645","18","8"
"59","ANTOINE Thomas","FRA","644","27","8"
"60","PIIPPO Samuli","FIN","644","24","4"
"61","PIFARRE TRUJILLO Miguel","ESP","643","21","11"
"62","POPOV Vitalii","RUS","642","22","10"
"63","DE SMEDT Jarno","BEL","642","21","7"
"64","KABOUDANI Mohammadsadegh","IRI","642","21","4"
"65","ADRIAENSEN Ben","BEL","641","22","6"
"66","TEKONIEMI Antti","FIN","641","21","11"
"67","RAVNIKAR Ziga","SLO","641","19","4"
"68","MILON Md Emdadul Haque","BAN","640","24","5"
"69","DUCHON Juraj","SVK","639","23","10"
"70","EBERMANN Erik","CZE","639","19","9"
"71","BAATARKHUYAG Otgonbold","MGL","638","22","9"
"72","PYYLAMPI Tero","FIN","638","20","9"
"73","IEPURI Ghenadi","ROU","638","18","6"
"74","DUCHON Miroslav","SVK","637","18","6"
"75","STRAJHAR Gasper","SLO","636","21","3"
"76","DAL Erdal Meric","TUR","635","23","7"
"77","DELILLE Ferdinand","FRA","635","22","9"
"78","DING Yiliang","CHN","634","20","5"
"79","ROOS Senna","BEL","634","19","6"
"80","KAMARUDDIN Haziq","MAS","634","18","7"
"81","ASHRAFI Sadegh","IRI","632","19","8"
"82","POTTS Alec","AUS","631","24","5"
"83","THEPNA Denchai","THA","631","18","3"
"84","THAMWONG Witthaya","THA","629","21","6"
"85","MATHESON Finn","NZL","626","19","4"
"86","NGUYEN Thanh Binh","VIE","626","16","4"
"87","DANILA Andrei","ROU","625","18","5"
"88","BIZJAK Rok","SLO","621","12","4"
"89","SHABANI Reza","IRI","619","15","4"
"90","WONG Sung Tin","HKG","617","10","5"
"91","PIRALI NAJAFABADI Amin","IRI","609","9","2"
"92","SOITHONG Aitthiwat","THA","606","15","3"
"93","WEI Victor","AUS","604","14","4"
"94","HALSKOV Aske","DEN","600","14","3"
"95","STEFANOVIC Nikola","SRB","600","7","2"
"96","CHAN Jor Shing","HKG","587","8","6"
"97","WINKELSTROETER Teiva","FPO","581","11","5"
"98","VOZECH Jan","CZE","577","4","0"
"99","GRAS Didier","FPO","566","14","7"
