"Rank","Name","Country","Score","Tens","Xs"
"1","USA","USA","2127","184","89"
"2","Korea","KOR","2125","181","109"
"3","Australia","AUS","2093","153","66"
"4","India","IND","2091","153","82"
"5","PR China","CHN","2091","152","60"
"6","Turkey","TUR","2091","150","61"
"7","Belgium","BEL","2089","148","64"
"8","Chinese Taipei","TPE","2086","154","55"
"9","IR Iran","IRI","2081","146","51"
"10","Thailand","THA","2080","144","58"
"11","Hong Kong, China","HKG","2063","131","51"
"12","Malaysia","MAS","2061","137","65"
"13","New Zealand","NZL","2053","131","61"
"14","Kazakhstan","KAZ","2041","117","53"
