"Rank","Name","Country","Score","Tens","Xs"
"1","Korea","KOR","2047","115","36"
"2","USA","USA","2007","97","36"
"3","Netherlands","NED","2004","89","40"
"4","Chinese Taipei","TPE","1996","89","33"
"5","Kazakhstan","KAZ","1994","90","26"
"6","Malaysia","MAS","1983","83","27"
"7","PR China","CHN","1983","80","28"
"8","Japan","JPN","1981","81","28"
"9","Spain","ESP","1978","83","29"
"10","Turkey","TUR","1975","79","22"
"11","India","IND","1965","75","28"
"12","Great Britain","GBR","1965","75","15"
"13","Russia","RUS","1964","72","27"
"14","Bangladesh","BAN","1963","69","22"
"15","Australia","AUS","1943","77","28"
"16","Finland","FIN","1943","70","22"
"17","Mongolia","MGL","1933","70","24"
"18","France","FRA","1926","80","28"
"19","Belgium","BEL","1917","62","19"
"20","Thailand","THA","1909","60","16"
"21","Slovenia","SLO","1898","52","11"
"22","IR Iran","IRI","1893","55","16"
