"Rank","Name","Country","Score","Tens","Xs"
"1","Korea","KOR","2020","99","40"
"2","Chinese Taipei","TPE","1958","74","16"
"3","PR China","CHN","1944","71","24"
"4","Great Britain","GBR","1923","70","19"
"5","Japan","JPN","1912","57","20"
"6","Russia","RUS","1902","54","16"
"7","Spain","ESP","1892","52","17"
"8","India","IND","1881","52","15"
"9","USA","USA","1881","50","14"
"10","Turkey","TUR","1869","48","11"
"11","Malaysia","MAS","1858","49","18"
"12","Denmark","DEN","1856","51","13"
"13","IR Iran","IRI","1856","48","22"
"14","Kazakhstan","KAZ","1846","50","10"
"15","Australia","AUS","1834","32","10"
"16","Finland","FIN","1798","41","15"
"17","Thailand","THA","1757","26","11"
