"Pass","A Name","A Score","A Win","B Name","B Score","B Win"
"1/24","Zepeda Fernanda","145","1","Mason Lucy","144","0"
"1/24","Cox Cassidy","144","0","Shkliar Kseniia","144*","1"
"1/24","Grydeland Runa","147","1","Chen Yi-Hsuan","144","0"
"1/24","Prieels Sarah","143","1","Hoim Emily","138","0"
"1/24","Cintron Marla","143","0","Tonioli Marcella","146","1"
"1/24","Roner Elisa","141","0","Merino Brenda","142","1"
"1/24","Raj Kaur","143","0","Lislevand Sunniva","145","1"
"1/24","Becerra Andrea","144","1","Ret Sara","141","0"
"1/24","Alvarez Ospina M. Pilar","140","0","Annison Layla","148","1"
"1/24","Vennam Jyothi Surekha","144","1","Viljoen Amanda","140","0"
"1/24","Herve Sandra","138","0","Vermeulen Jody","143","1"
"1/24","Fraigneau Clémence","139","0","Lin Ming-Ching","141","1"
"1/24","Tomruk Ipek","142","1","de Laat Sanne","140","0"
"1/24","Avdeeva Natalia","145","1","Wenzl Jennifer","133","0"
"1/24","Couwenberg Martine","138","0","Dodemont Sophie","146","1"
"1/24","Shkolna Mariya","147","1","Stahlkrantz Sofie","142","0"
"1/24","Tontoeva Diana","142","0","Huang I-Jou","144","1"
"1/24","Dudhwal Swati","143*","1","Damsbo Erika","143","0"
"1/24","Heigenhauser Kristina","144","0","Gibson Ella","149","1"
"1/24","Schall Velia","146","0","Chen Li Ju","146*","1"
"1/24","Marcen Maja","142","0","Jensen Tanja","148","1"
"1/24","Savenkova Alexandra","144","1","Lyan Viktoriya","141","0"
"1/24","Theodore Breanna","140","0","Ellison Toja","148","1"
"1/24","Kirar Muskan","141","0","Elmaagacli Gizem","142","1"
"1/16","Mlinaric Amanda","144","1","Zepeda Fernanda","141","0"
"1/16","Shkliar Kseniia","138","0","Grydeland Runa","141","1"
"1/16","Prieels Sarah","147","1","Tonioli Marcella","143","0"
"1/16","Merino Brenda","143","0","Balzhanova Viktoria","145","1"
"1/16","Ruiz Alexis","146","1","Lislevand Sunniva","145","0"
"1/16","Becerra Andrea","144","0","Annison Layla","148","1"
"1/16","Vennam Jyothi Surekha","147","1","Vermeulen Jody","141","0"
"1/16","Lin Ming-Ching","142","0","Van Kradenburg Jeanine","148","1"
"1/16","Pearce Paige","147","1","Tomruk Ipek","146","0"
"1/16","Avdeeva Natalia","145*","1","Dodemont Sophie","145","0"
"1/16","Shkolna Mariya","143","0","Huang I-Jou","143*","1"
"1/16","Dudhwal Swati","147","0","Lopez Sara","147*","1"
"1/16","Wentzel Danelle","146*","1","Gibson Ella","146","0"
"1/16","Chen Li Ju","142","0","Jensen Tanja","144","1"
"1/16","Savenkova Alexandra","145","0","Ellison Toja","146","1"
"1/16","Elmaagacli Gizem","146","1","Bostan Yesim","144","0"
"1/8","Mlinaric Amanda","146","1","Grydeland Runa","142","0"
"1/8","Prieels Sarah","143","0","Balzhanova Viktoria","145","1"
"1/8","Ruiz Alexis","146","1","Annison Layla","145","0"
"1/8","Vennam Jyothi Surekha","147","0","Van Kradenburg Jeanine","149","1"
"1/8","Pearce Paige","147","1","Avdeeva Natalia","143","0"
"1/8","Huang I-Jou","146","1","Lopez Sara","144","0"
"1/8","Wentzel Danelle","147","1","Jensen Tanja","146","0"
"1/8","Ellison Toja","149","1","Elmaagacli Gizem","147","0"
"1/4","Mlinaric Amanda","146","0","Balzhanova Viktoria","147","1"
"1/4","Ruiz Alexis","145","1","Van Kradenburg Jeanine","144","0"
"1/4","Pearce Paige","143","0","Huang I-Jou","147","1"
"1/4","Wentzel Danelle","147","1","Ellison Toja","145","0"
"1/2","Balzhanova Viktoria","145","0","Ruiz Alexis","146","1"
"1/2","Huang I-Jou","143","0","Wentzel Danelle","147","1"
"Bronze","Huang I-Jou","144","1","Balzhanova Viktoria","143","0"
"Gold","Wentzel Danelle","144","1","Ruiz Alexis","141","0"
