"Pass","A Name","A Score","A Win","B Name","B Score","B Win"
"1/48","Ak Samet","6","1","Requa Matthew","4","0"
"1/48","Havelko Yuriy","6","1","van Tongeren Jan","4","0"
"1/48","Irdyneev Erdem","6*","1","Liahushev Alexander","5","0"
"1/48","Maxwell Brian","6","1","Wei Shaoxuan","4","0"
"1/48","Sierakowski Kacper","6","1","Mussayev Sanzhar","4","0"
"1/48","Iepuri Ghenadi","0","0","Feng Hao","6","1"
"1/48","Jacquey Clement","6","1","Mestvirishvili Zurab","2","0"
"1/48","Oliveira Bernardo","2","0","Plihon Pierre","6","1"
"1/48","Hall Tom","5","0","Rojas Carlos","6*","1"
"1/48","Ravnikar Ziga","5","0","Das Atanu","6*","1"
"1/48","Kao Hao-Wen","4","0","Tomatsu Daisuke","6","1"
"1/48","Aguilar Andres","1","0","Makhnenko Artem","7","1"
"1/48","Oonuki Wataru","5","0","Boardman Ernesto","6*","1"
"1/48","Duzelbayev Sultan","6","1","Gankin Denis","4","0"
"1/48","Rieger Cedric","6","1","Piippo Samuli","2","0"
"1/48","Szafran Marek","0","0","Li Jialun","6","1"
"1/48","Bozlar Fatih","7","1","Henckels Jeff","3","0"
"1/48","Ivanytskyy Heorhiy","1","0","Duenas Crispin","7","1"
"1/48","Acha Pablo","6","1","Schweighofer Julian","2","0"
"1/48","Peters Eric","6","1","Ebermann Erik","2","0"
"1/48","Galiazzo Marco","6","1","Baatarkhuyag Otgonbold","0","0"
"1/48","Dalidovich Pavel","0","0","Kahllund Florian","6","1"
"1/48","Deng Yu-Cheng","6","1","Stefanovic Nikola","2","0"
"1/48","Jantsan Gantugs","3","0","Verma Atul","7","1"
"1/48","van der Ven Rick","7","1","Soto Ricardo","3","0"
"1/48","Pasqualucci David","6","1","Jadhav Pravin Ramesh","4","0"
"1/48","Tsynguev Beligto","7","1","Mihalic Matija","1","0"
"1/48","Ding Yiliang","6","1","Chirault Thomas","2","0"
"1/48","Baldanov Arsalan","4","0","Stanwood Thomas","6","1"
"1/48","Danila Andrei","0","0","Tang Chih-Chun","6","1"
"1/48","Alvarino Garcia Miguel","7","1","Rufer Thomas","3","0"
"1/48","Musolesi Federico","6*","1","Gstoettner Andreas","5","0"
"1/48","Castro Daniel","0","0","Habjan Malavasic Den","6","1"
"1/48","Dal Erdal Meric","1","0","Wei Chun-Heng","7","1"
"1/48","Olaru Dan","7","1","Barber Thomas","1","0"
"1/48","Firsau Kiryl","4","0","Weckmueller Maximilian","6","1"
"1/48","Alvarez Luis","6","1","Pifarre Trujillo Miguel","0","0"
"1/48","Klein Pit","2","0","Hunbin Oleksii","6","1"
"1/48","Vikstrom Antti Olavi","4","0","Kasprowski Oskar","6","1"
"1/48","Moseshvili Jaba","6","1","Alvarado Santin Angel David","0","0"
"1/48","Wise Alexander","5","0","Costa Marcelo","6*","1"
"1/48","Kim Edson","2","0","Williams Jack","6","1"
"1/48","Rai Tarundeep","7","1","Irrasch Dominik","3","0"
"1/48","Strajhar Gasper","6","1","Wieser Felix","4","0"
"1/48","Pkhakadze Lasha","6","1","Ogrodowczyk Mateusz","4","0"
"1/48","Baasankhuu Adiyasuren","2","0","Aoshima Tetsuya","6","1"
"1/48","Huston Patrick","7","1","Bizjak Rok","1","0"
"1/48","Faber Florian","5","0","Ruban Viktor","6*","1"
"1/24","Ak Samet","6*","1","Havelko Yuriy","5","0"
"1/24","Irdyneev Erdem","7","1","Maxwell Brian","3","0"
"1/24","Sierakowski Kacper","2","0","Feng Hao","6","1"
"1/24","Jacquey Clement","2","0","Plihon Pierre","6","1"
"1/24","Rojas Carlos","7","1","Das Atanu","3","0"
"1/24","Tomatsu Daisuke","1","0","Makhnenko Artem","7","1"
"1/24","Boardman Ernesto","4","0","Duzelbayev Sultan","6","1"
"1/24","Rieger Cedric","0","0","Li Jialun","6","1"
"1/24","Bozlar Fatih","1","0","Duenas Crispin","7","1"
"1/24","Acha Pablo","2","0","Peters Eric","6","1"
"1/24","Galiazzo Marco","7","1","Kahllund Florian","3","0"
"1/24","Deng Yu-Cheng","5","0","Verma Atul","6*","1"
"1/24","van der Ven Rick","6","1","Pasqualucci David","2","0"
"1/24","Tsynguev Beligto","4","0","Ding Yiliang","6","1"
"1/24","Stanwood Thomas","0","0","Tang Chih-Chun","6","1"
"1/24","Alvarino Garcia Miguel","6","1","Musolesi Federico","2","0"
"1/24","Habjan Malavasic Den","6","1","Wei Chun-Heng","4","0"
"1/24","Olaru Dan","6","1","Weckmueller Maximilian","0","0"
"1/24","Alvarez Luis","5","0","Hunbin Oleksii","6*","1"
"1/24","Kasprowski Oskar","6","1","Moseshvili Jaba","2","0"
"1/24","Costa Marcelo","3","0","Williams Jack","7","1"
"1/24","Rai Tarundeep","6","1","Strajhar Gasper","4","0"
"1/24","Pkhakadze Lasha","1","0","Aoshima Tetsuya","7","1"
"1/24","Huston Patrick","4","0","Ruban Viktor","6","1"
"1/16","Gazoz Mete","6*","1","Ak Samet","5","0"
"1/16","Irdyneev Erdem","6","1","Feng Hao","4","0"
"1/16","Plihon Pierre","0","0","Rojas Carlos","6","1"
"1/16","Makhnenko Artem","6*","1","Abdullin Ilfat","5","0"
"1/16","D’Almeida Marcus","7","1","Duzelbayev Sultan","1","0"
"1/16","Li Jialun","6","1","Duenas Crispin","4","0"
"1/16","Peters Eric","5","0","Galiazzo Marco","6*","1"
"1/16","Verma Atul","4","0","Wijler Steve","6","1"
"1/16","Ellison Brady","6","1","van der Ven Rick","2","0"
"1/16","Ding Yiliang","6","1","Tang Chih-Chun","4","0"
"1/16","Alvarino Garcia Miguel","7","1","Habjan Malavasic Den","3","0"
"1/16","Olaru Dan","2","0","Van Den Berg Sjef","6","1"
"1/16","Valladont Jean-Charles","2","0","Hunbin Oleksii","6","1"
"1/16","Kasprowski Oskar","5","0","Williams Jack","6*","1"
"1/16","Rai Tarundeep","7","1","Aoshima Tetsuya","1","0"
"1/16","Ruban Viktor","5","0","Nespoli Mauro","6*","1"
"1/8","Gazoz Mete","7","1","Irdyneev Erdem","1","0"
"1/8","Rojas Carlos","3","0","Makhnenko Artem","7","1"
"1/8","D’Almeida Marcus","2","0","Li Jialun","6","1"
"1/8","Galiazzo Marco","1","0","Wijler Steve","7","1"
"1/8","Ellison Brady","7","1","Ding Yiliang","1","0"
"1/8","Alvarino Garcia Miguel","2","0","Van Den Berg Sjef","6","1"
"1/8","Hunbin Oleksii","5","0","Williams Jack","6*","1"
"1/8","Rai Tarundeep","5","0","Nespoli Mauro","6*","1"
"1/4","Gazoz Mete","7","1","Makhnenko Artem","1","0"
"1/4","Li Jialun","4","0","Wijler Steve","6","1"
"1/4","Ellison Brady","6*","1","Van Den Berg Sjef","5","0"
"1/4","Williams Jack","1","0","Nespoli Mauro","7","1"
"1/2","Gazoz Mete","4","0","Wijler Steve","6","1"
"1/2","Ellison Brady","6","1","Nespoli Mauro","4","0"
"Bronze","Nespoli Mauro","3","0","Gazoz Mete","7","1"
"Gold","Ellison Brady","6","1","Wijler Steve","0","0"
