"Rank","Name","Country"
"1","WENTZEL Danelle","RSA"
"2","RUIZ Alexis","USA"
"3","HUANG I-Jou","TPE"
"4","BALZHANOVA Viktoria","RUS"
"5","MLINARIC Amanda","CRO"
"6","ELLISON Toja","SLO"
"7","VAN KRADENBURG Jeanine","RSA"
"8","PEARCE Paige","USA"
"9","ANNISON Layla","GBR"
"9","AVDEEVA Natalia","RUS"
"9","ELMAAGACLI Gizem","TUR"
"9","GRYDELAND Runa","NOR"
"9","JENSEN Tanja","DEN"
"9","LOPEZ Sara","COL"
"9","PRIEELS Sarah","BEL"
"9","VENNAM Jyothi Surekha","IND"
"17","BECERRA Andrea","MEX"
"17","BOSTAN Yesim","TUR"
"17","CHEN Li Ju","TPE"
"17","DODEMONT Sophie","FRA"
"17","DUDHWAL Swati","IND"
"17","GIBSON Ella","GBR"
"17","LIN Ming-Ching","TPE"
"17","LISLEVAND Sunniva","NOR"
"17","MERINO Brenda","MEX"
"17","SAVENKOVA Alexandra","RUS"
"17","SHKLIAR Kseniia","UKR"
"17","SHKOLNA Mariya","LUX"
"17","TOMRUK Ipek","TUR"
"17","TONIOLI Marcella","ITA"
"17","VERMEULEN Jody","NED"
"17","ZEPEDA Fernanda","MEX"
"33","ALVAREZ OSPINA M. Pilar","ESP"
"33","CHEN Yi-Hsuan","TPE"
"33","CINTRON Marla","PUR"
"33","COUWENBERG Martine","NED"
"33","COX Cassidy","USA"
"33","DAMSBO Erika","DEN"
"33","DE LAAT Sanne","NED"
"33","FRAIGNEAU Clémence","FRA"
"33","HEIGENHAUSER Kristina","GER"
"33","HERVE Sandra","FRA"
"33","HOIM Emily","EST"
"33","KIRAR Muskan","IND"
"33","LYAN Viktoriya","KAZ"
"33","MARCEN Maja","COL"
"33","MASON Lucy","GBR"
"33","RAJ KAUR","IND"
"33","RET Sara","ITA"
"33","RONER Elisa","ITA"
"33","SCHALL Velia","GER"
"33","STAHLKRANTZ Sofie","SWE"
"33","THEODORE Breanna","USA"
"33","TONTOEVA Diana","RUS"
"33","VILJOEN Amanda","RSA"
"33","WENZL Jennifer","GER"
