"Rank","Name","Country"
"1","ZHENG Yichai","CHN"
"2","TSYREMPILOVA Sayana","RUS"
"3","TAN Ya-Ting","TPE"
"4","VALENCIA Alejandra","MEX"
"5","PEROVA Ksenia","RUS"
"6","DZIOMINSKAYA Karyna","BLR"
"7","AN Qixuan","CHN"
"7","OSIPOVA Elena","RUS"
"9","ADICEOM Audrey","FRA"
"9","ANAGOZ Yasemin","TUR"
"9","BISHINDEE Urantungalag","MGL"
"9","KUMARI Deepika","IND"
"9","LONG Xiaoqing","CHN"
"9","MARIN Alicia","ESP"
"9","PAVLOVA Anastasia","UKR"
"9","UNRUH Lisa","GER"
"17","ANDREOLI Tatiana","ITA"
"17","AVITIA Mariana","MEX"
"17","BARBELIN Lisa","FRA"
"17","BARDARY Marion","FRA"
"17","CANALES Elia","ESP"
"17","CASTANOS Celia","ESP"
"17","FOLKARD Naomi","GBR"
"17","JAGER Maja","DEN"
"17","LAISHRAM Bombayla Devi","IND"
"17","LEI Chien-Ying","TPE"
"17","MARCHENKO Veronika","UKR"
"17","MENG Fanxu","CHN"
"17","NURMSALU Laura","EST"
"17","PENG Chia-Mao","TPE"
"17","RICHTER Elena","GER"
"17","STEPANOVA Inna","RUS"
"33","ALTANGEREL Enkhtuya","MGL"
"33","BARI Komalika","IND"
"33","BAUER Katharina","GER"
"33","BAYARDO Gabriela","NED"
"33","BJERENDAL Christine","SWE"
"33","BOARI Lucilla","ITA"
"33","BROWN Mackenzie","USA"
"33","GAUBIL Melanie","FRA"
"33","KATO Ayano","JPN"
"33","KATTSTROM Elin","SWE"
"33","KROPPEN Michelle","GER"
"33","KUOPPA Taru","FIN"
"33","LARSSON Karin","SWE"
"33","LORIG Khatuna","USA"
"33","MARUSAVA Hanna","BLR"
"33","MICKELBERRY Erin","USA"
"33","MIKLOS Beatrice","ROU"
"33","MIRCA Alexandra","MDA"
"33","NARIMANIDZE Khatuna","GEO"
"33","RODIONOVA Polina","UKR"
"33","SHARBEKOVA Asel","KGZ"
"33","SICHENIKOVA Lidiia","UKR"
"33","VEDWAN Madhu","IND"
"33","YACHNIK Elena","BLR"
"57","AKTUNA Aybuke","TUR"
"57","AMAIESTROAIE Madalina","ROU"
"57","ANDERSEN Kirstine","DEN"
"57","ARJEVANIDZE Ira","GEO"
"57","ASKAROVA Karakoz","KAZ"
"57","BASSI Isabella","CHI"
"57","BETTLES Sarah","GBR"
"57","CHENIER Virginie","CAN"
"57","COSKUN Gulnaz","TUR"
"57","DEGN Randi","DEN"
"57","DERIN Sevcan","TUR"
"57","DOS SANTOS Ane Marcelle","BRA"
"57","FARASIEWICZ Karolina","POL"
"57","FULLER Sarah","NZL"
"57","GALISTEO Monica","ESP"
"57","GASIMOVA Ozay","AZE"
"57","HINOJOSA Karla","MEX"
"57","HODGSON Olivia","NZL"
"57","HORACKOVA Marie","CZE"
"57","HORIGUCHI Risa","JPN"
"57","IGIBAYEVA Gaukhar","KAZ"
"57","ILYASSOVA Alina","KAZ"
"57","JANGNAS Erika","SWE"
"57","KANATBEK KYZY JIBEK Jibek","KGZ"
"57","KAUFHOLD Casey","USA"
"57","KAZLOUSKAYA Karyna","BLR"
"57","KOJO Aoi","JPN"
"57","KOVACIC Tihana","CRO"
"57","LANDI Vanessa","ITA"
"57","LESNIAK Natalia","POL"
"57","LIN Chia-En","TPE"
"57","LONGOVA Alexandra","SVK"
"57","MAMATKULOVA Aiturgan","KGZ"
"57","NISHIMURA Saho","JPN"
"57","PARNAT Reena","EST"
"57","PHUTKARADZE Tsiko","GEO"
"57","PITMAN Bryony","GBR"
"57","RAMAZANOVA Yaylagul","AZE"
"57","RIESS Nina","AUT"
"57","ROMAN Aida","MEX"
"57","RZASA Joanna","POL"
"57","SIMONOVA Svetlana","AZE"
"57","STRAKA Elisabeth","AUT"
"57","TAGAEVA Zukhro","TJK"
"57","UMER Ana","SLO"
"57","WATSON Katherine","NZL"
"57","WOELL Martina","AUT"
"57","ZYZANSKA Sylwia","POL"
"105","ZUBAYDOVA Firuza","TJK"
"106","MAIDAR Jaina","MGL"
"107","KENDAL-BROWN Amanda Jessica","TTO"
"108","BOTTINELLI Gajane","FIN"
"109","KANATBEK KYZY Diana","KGZ"
"110","KAMALETDINOVA Albina","TJK"
