"Rank","Name","Country","Score","Tens","Xs"
"1","TAN Ya-Ting","TPE","671","33","11"
"2","OSIPOVA Elena","RUS","670","30","15"
"3","LEI Chien-Ying","TPE","670","30","8"
"4","MENG Fanxu","CHN","668","29","11"
"5","STEPANOVA Inna","RUS","666","26","10"
"6","AN Qixuan","CHN","662","27","5"
"7","PENG Chia-Mao","TPE","660","29","12"
"8","CANALES Elia","ESP","659","25","8"
"9","KUMARI Deepika","IND","658","30","14"
"10","LAISHRAM Bombayla Devi","IND","658","26","8"
"11","BISHINDEE Urantungalag","MGL","657","30","9"
"12","ADICEOM Audrey","FRA","657","30","9"
"13","ANDREOLI Tatiana","ITA","657","25","11"
"14","VALENCIA Alejandra","MEX","657","25","9"
"15","PAVLOVA Anastasia","UKR","656","27","9"
"16","MARIN Alicia","ESP","654","26","8"
"17","SICHENIKOVA Lidiia","UKR","654","24","8"
"18","CASTANOS Celia","ESP","653","27","6"
"19","BAYARDO Gabriela","NED","653","26","8"
"20","PITMAN Bryony","GBR","653","25","5"
"21","ROMAN Aida","MEX","653","24","9"
"22","KATO Ayano","JPN","652","24","8"
"23","TSYREMPILOVA Sayana","RUS","652","23","7"
"24","MARCHENKO Veronika","UKR","652","21","3"
"25","PEROVA Ksenia","RUS","651","27","10"
"26","BJERENDAL Christine","SWE","651","23","9"
"27","HORIGUCHI Risa","JPN","651","21","3"
"28","DZIOMINSKAYA Karyna","BLR","650","28","9"
"29","ANAGOZ Yasemin","TUR","650","24","9"
"30","LONG Xiaoqing","CHN","649","27","7"
"31","LANDI Vanessa","ITA","649","25","8"
"32","KROPPEN Michelle","GER","649","21","6"
"33","AVITIA Mariana","MEX","649","19","7"
"34","RICHTER Elena","GER","648","25","7"
"35","MICKELBERRY Erin","USA","648","22","7"
"36","LIN Chia-En","TPE","647","25","6"
"37","BOARI Lucilla","ITA","647","21","7"
"38","NURMSALU Laura","EST","647","20","7"
"39","UNRUH Lisa","GER","646","21","3"
"40","UMER Ana","SLO","645","27","10"
"41","RODIONOVA Polina","UKR","645","25","7"
"42","KOJO Aoi","JPN","645","22","7"
"43","BARBELIN Lisa","FRA","645","19","3"
"44","FOLKARD Naomi","GBR","644","25","8"
"45","ZHENG Yichai","CHN","643","24","8"
"46","JAGER Maja","DEN","643","23","6"
"47","ALTANGEREL Enkhtuya","MGL","643","19","4"
"48","GALISTEO Monica","ESP","641","23","7"
"49","DERIN Sevcan","TUR","641","19","9"
"50","BARI Komalika","IND","640","19","7"
"51","BETTLES Sarah","GBR","640","18","9"
"52","ANDERSEN Kirstine","DEN","638","21","6"
"53","MIRCA Alexandra","MDA","637","24","4"
"54","NISHIMURA Saho","JPN","637","21","6"
"55","KAZLOUSKAYA Karyna","BLR","637","20","9"
"56","LORIG Khatuna","USA","637","20","8"
"57","LESNIAK Natalia","POL","637","20","4"
"58","BROWN Mackenzie","USA","637","18","5"
"59","GAUBIL Melanie","FRA","636","22","9"
"60","KAUFHOLD Casey","USA","636","17","7"
"61","NARIMANIDZE Khatuna","GEO","632","20","7"
"62","YACHNIK Elena","BLR","632","17","11"
"63","DEGN Randi","DEN","631","18","3"
"64","MARUSAVA Hanna","BLR","631","15","3"
"65","BARDARY Marion","FRA","630","19","9"
"66","ZYZANSKA Sylwia","POL","628","18","6"
"67","HINOJOSA Karla","MEX","628","18","3"
"68","RAMAZANOVA Yaylagul","AZE","628","15","9"
"69","PHUTKARADZE Tsiko","GEO","627","18","7"
"70","FARASIEWICZ Karolina","POL","627","18","4"
"71","MIKLOS Beatrice","ROU","625","20","6"
"72","LONGOVA Alexandra","SVK","625","16","4"
"73","VEDWAN Madhu","IND","625","14","3"
"74","STRAKA Elisabeth","AUT","624","17","7"
"75","RZASA Joanna","POL","623","17","2"
"76","WOELL Martina","AUT","622","19","6"
"77","KUOPPA Taru","FIN","622","18","4"
"78","ASKAROVA Karakoz","KAZ","622","16","4"
"79","ILYASSOVA Alina","KAZ","621","19","6"
"80","DOS SANTOS Ane Marcelle","BRA","621","16","5"
"81","AKTUNA Aybuke","TUR","621","12","3"
"82","SHARBEKOVA Asel","KGZ","621","11","2"
"83","JANGNAS Erika","SWE","618","13","1"
"84","AMAIESTROAIE Madalina","ROU","616","14","4"
"85","BASSI Isabella","CHI","614","12","5"
"86","LARSSON Karin","SWE","613","15","4"
"87","MAMATKULOVA Aiturgan","KGZ","612","13","4"
"88","RIESS Nina","AUT","612","10","6"
"89","COSKUN Gulnaz","TUR","611","16","4"
"90","KOVACIC Tihana","CRO","610","18","3"
"91","HORACKOVA Marie","CZE","610","15","3"
"92","KATTSTROM Elin","SWE","606","11","4"
"93","BAUER Katharina","GER","599","13","4"
"94","PARNAT Reena","EST","598","11","2"
"95","TAGAEVA Zukhro","TJK","597","12","5"
"96","ARJEVANIDZE Ira","GEO","596","16","4"
"97","HODGSON Olivia","NZL","592","9","2"
"98","IGIBAYEVA Gaukhar","KAZ","589","11","3"
"99","CHENIER Virginie","CAN","586","12","6"
"100","SIMONOVA Svetlana","AZE","583","7","3"
"101","FULLER Sarah","NZL","575","5","0"
"102","WATSON Katherine","NZL","571","7","4"
"103","GASIMOVA Ozay","AZE","567","7","2"
"104","KANATBEK KYZY JIBEK Jibek","KGZ","562","11","4"
"105","ZUBAYDOVA Firuza","TJK","561","8","3"
"106","MAIDAR Jaina","MGL","558","10","6"
"107","KENDAL-BROWN Amanda Jessica","TTO","552","7","4"
