"Rank","Name","Country","Score","Tens","Xs"
"1","BUDEN Domagoj","CRO","691","50","24"
"2","SCHLOESSER Mike","NED","690","44","19"
"3","LAUBE Marcus","GER","689","45","21"
"4","SULLIVAN Matt","USA","689","44","16"
"5","BOSANSKY Jozef","SVK","688","45","18"
"6","TRACHSEL Marcel","GER","685","41","18"
"7","ARAZ Suleyman","TUR","684","42","13"
"8","DELOCHE Pierre-Julien","FRA","682","39","17"
"9","CAGIRAN Evren","TUR","680","40","15"
"10","DAMBAEV Alexander","RUS","679","35","14"
"11","HANSEN Stephan","DEN","678","34","18"
"12","FREGNAN Elia","ITA","677","37","8"
"13","LIMÅS Joakim","SWE","677","36","12"
"14","PIZARRO Jean","PUR","677","35","11"
"15","PAGNI Sergio","ITA","676","46","17"
"16","VAVRO Mario","CRO","676","37","12"
"17","MUNOZ Daniel","COL","676","36","15"
"18","WIENER Nico","AUT","675","38","15"
"19","ELZINGA Peter","NED","675","37","15"
"20","SCHAFF Kris","USA","675","35","19"
"21","MASON James","GBR","674","34","9"
"22","YETIM Muhammed","TUR","673","37","16"
"23","VERMA Abhishek","IND","673","35","9"
"24","BOULCH Jean Philippe","FRA","673","34","8"
"25","ARENAS Sebastian","COL","672","37","11"
"26","HERNANDEZ Roberto","ESA","672","36","14"
"27","DAMSBO Martin","DEN","672","33","13"
"28","BIELBY Adam","AUS","672","33","9"
"29","BORGSTROM Hampus","SWE","671","34","10"
"30","GELLENTHIEN Braden","USA","670","35","13"
"31","OROSZ Viktor","HUN","670","31","13"
"32","SAINI Aman","IND","669","32","12"
"33","SEYWERT Gilles","LUX","668","30","14"
"34","KLINGNER Lars","GER","668","30","14"
"35","LODETTI Alessandro","ITA","666","35","15"
"36","MORGAN Tate","USA","665","34","13"
"37","PEINEAU Sebastien","FRA","664","36","10"
"38","CHAUHAN Rajat","IND","664","28","9"
"39","HAMDORF Sebastian","GER","663","31","10"
"40","FREDERICKX Brend","BEL","658","27","11"
"41","BEGA Timo","LUX","657","27","11"
"42","KNUDSEN Mads","DEN","656","28","6"
"43","OLEXIENKO Justin","AUS","653","26","14"
"44","BAGASWARA Iqbal","INA","653","23","6"
"45","DARUM Andreas","DEN","652","25","9"
"46","MATZNER Michael","AUT","652","23","8"
"47","SHARVIN Mark","IRL","649","23","6"
"48","DOLDERMAN Sander","NED","647","26","11"
"49","BREHAUT Jamie","CAN","645","23","7"
"50","PATER Sil","NED","642","28","12"
"51","KOO MOY-SING Dominique","MRI","642","18","5"
"52","DAS Bhagwan","IND","641","19","12"
"53","MODIC Stas","SLO","640","27","14"
"54","LAMESCH Pol","LUX","640","20","5"
"55","OLEAS RODRIGUEZ Mateo Sebastian","ECU","639","23","9"
"56","MELAMED Yehonatan","ISR","626","16","4"
"57","HOW KEMG FAT Henri","MRI","613","14","4"
"58","BASHKIREV Alexey","RUS","612","14","3"
"59","OLAFSSON Albert","ISL","586","13","2"
